"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,1951.71917144159,3954.13797611151,6009.96086296225,8122.11461789864,10293.7734236823,12528.3875531323,14829.7163466727,17201.8662655846,19649.3349882849,22177.0627391042,24790.4923214797,27495.6396892669,30299.1773570028,33208.5335582317,36232.0108603098,39378.9290046888,42659.7981637356,46086.5307334628,49672.7024283711,53433.8771258944,57388.0151020059,61555.991743793,65962.2646790267,70635.7433914789,75610.9398649986,80929.5168151613,86642.4106841261,92812.8061305832,99520.4078593572,106867.754251789,114989.868869687,124069.620517373,134363.393941056,146246.683256477,160301.631377683,177503.497643268,199680.560382372,230937.374769162,284371.251895056
"2",0,1955.53438899712,3961.86751878558,6021.70912497039,8137.99171473288,10313.8956757221,12552.878025345,14858.7054527783,17235.4924466072,19687.7454773033,22220.4144263399,24838.9527367377,27549.3881223294,30358.4061410728,33273.4495472114,36302.837137947,39455.9068729472,42743.1894698472,46176.6206109926,49769.8025486693,53538.3295845542,57500.1971033398,61676.3212992871,66091.2076098993,70773.8220311615,75758.7440108942,81087.7177068836,86811.7791317657,92994.2364575014,99714.9501955468,107076.659169108,115214.650883841,124312.151615716,134626.047291438,146532.566042056,160614.988753663,177850.48120027,200070.89562661,231388.810784824,284927.140369378
"3",0,2179.72099935535,4416.06441489866,6712.05063207251,9070.94834690181,11496.3025534218,13991.9665888479,16562.1389635937,19211.4058599435,21944.7903797024,24767.8098692556,27686.5429658991,30707.7084133653,33838.7582161574,37087.9883816526,40464.6713916094,43979.2157291991,47643.3593758639,51470.406345891,55475.5182826209,59676.0772515528,64092.1416664515,68747.0255984547,73668.0438404007,78887.4831114963,84443.8871208084,90383.7856649181,96764.0656332054,103655.292980752,111146.483597444,119352.154503106,128423.102850007,138563.560363049,150059.862916471,163331.370232305,179028.231754659,198239.637614602,223007.447483858,257915.714866155,317591.792117708
"4",0,2073.70690756171,4201.28231279194,6385.59970003004,8629.76878722961,10937.1621521749,13311.4457190841,15756.6137973432,18277.0295131893,20877.4716621262,23563.1892458899,26339.9652578789,29214.1916653642,32192.9580331195,35284.1568794113,38496.6097045502,41840.2187590792,45326.151129614,48967.0637691928,52777.3809112541,56773.6392177395,60974.9215305314,65403.4080049691,70085.0849368236,75050.6687309288,80336.8284636294,85987.8308831037,92057.7960971508,98613.8579768187,105740.702986932,113547.278435479,122177.047222709,131824.307948668,142761.470100843,155387.497194558,170320.917653218,188597.947166408,212161.136412298,245371.586384147,302145.225601887
"5",0,1938.08250863305,3926.51041213218,5967.96926346372,8065.36539907796,10221.85082372,12440.8517031511,14726.1011112817,17081.6768175462,19512.0450750801,22022.1115908641,24617.2811394651,27303.5276412662,30087.476989942,32976.5055179654,35978.8577826502,39103.7884084103,42361.734133033,45764.524120614,49325.6392321303,53060.5346001964,56987.0450123286,61125.8999992744,65501.3863033475,70142.2114177426,75082.6461910605,80364.0622414626,86037.0401181618,92164.3230086067,98825.0587208104,106121.069200393,114186.434599471,123202.746017939,133424.596841659,145224.857608803,159181.603800589,176263.280618135,198285.392209,229323.815218332,282384.349818528
"6",0,1931.51323015103,3913.20120561236,5947.74037646371,8038.02722790631,10187.2030807248,12398.6824874301,14676.1858683943,17023.7771711408,19445.9075100997,21947.4659639838,24533.8389874644,27210.9802518656,29985.4931918902,32864.7291373694,35856.9047000614,38971.2431351247,42218.1458042278,45609.4017756126,49158.4462158494,52880.6818712022,56793.8830768145,60918.7090991085,65279.3643586323,69904.459042343,74828.147835186,80091.6621230678,85745.4110085716,91851.9250063268,98490.0836468148,105761.363742404,113799.390970311,122785.140913545,132972.34399427,144732.606877529,158642.045613607,175665.822784747,197613.288748731,228546.504655949,281427.186527152
"7",0,1831.07623137919,3709.71816519264,5638.4630784566,7620.05684167494,9657.47742969873,11753.9618412946,13913.0370382286,16138.5556463076,18434.7373259036,20806.2169279122,23258.1008160724,25796.0330760063,28426.2737695871,31155.791963924,33992.3770141494,36944.7725742197,40022.8391440933,43237.7527707734,46602.2500039185,50130.932660457,53840.6508256496,57750.9895021319,61884.8945017515,66269.4883067645,70937.1495883691,75926.9657364633,81286.7246243809,87075.7052346767,93368.6854312304,100261.865320914,107881.922162589,116400.420967221,126057.89839692,137206.637895134,150392.797981371,166531.353627678,187337.570555591,216662.286288135,266793.218948592
"8",0,2007.92632090709,4068.01236310457,6183.04046040085,8356.02168659179,10590.22163706,12889.189948305,15256.7942252041,17697.2591901522,20215.21204926,22815.7352993383,25504.4284899744,28287.4808272123,31171.7569859301,34164.8991238058,37275.4489120848,40512.9944894905,43888.3487086308,47413.7670281028,51103.2161265505,54972.708102237,59040.7204653416,63328.7297888288,67861.898050542,72669.9672923893,77788.4434015753,83260.1889294493,89137.6072260429,95485.7025917275,102386.47513034,109945.416204474,118301.437891066,127642.675394626,138232.897031686,150458.410693965,164918.124306711,182615.383496863,205431.118796202,237588.0915991,292560.799701337
"9",0,1793.86642592987,3634.33195852736,5523.88231410223,7465.20756356601,9461.22516552093,11515.1063387883,13630.3063727709,15810.599603003,18060.1199409739,20383.4080514948,22785.466530478,25271.8247685239,27848.6156150608,30522.6665168616,33301.6085394236,36194.0076544978,39209.5239841015,42359.1064637027,45655.2328200187,49112.2081424265,52746.5401009539,56577.4157059926,60627.3144812148,64922.8077454295,69495.6161939213,74384.0329109505,79634.8746592882,85306.2157969243,91471.3146061292,98224.4162848531,105689.623848419,114035.015887856,123496.241053377,134418.423939351,147336.62442728,163147.224030283,183530.632081777,212259.432172709,261371.640315136
"10",0,2081.78680998449,4217.65200853541,6410.48027611292,8663.39344724193,10979.7772404737,13363.3118637761,15818.0071897902,18348.2433450507,20958.8177449546,23654.9998432226,26442.5951658602,29328.0205855244,32318.3932904646,35421.6365510159,38646.6062392034,42003.2431882733,45502.7579957975,49157.8569308216,52983.0204287471,56994.849584254,61212.5015927894,65658.243031496,70358.1614480301,75343.0929293047,80649.8494274767,86322.8701697785,92416.4861352699,98998.0927725274,106152.706515076,113989.699168508,122653.09261575,132337.942513559,143317.719754032,155992.942356781,170984.548752762,189332.792097813,212987.791941035,246327.641682067,303322.491266321
