"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,935.005139881178,1894.29882411454,2879.17666618185,3891.04079396319,4931.41185512163,6001.94276308192,7104.43449550028,8240.85432433922,9413.35694095949,10624.3090460672,11876.3181096631,13172.2661794609,14515.3498400304,15909.1277163244,17357.5772981713,18865.1633704065,20436.9210145764,22078.5570719435,23796.5752255281,25598.4316225105,27492.730446625,29489.4724164737,31600.3743855924,33839.2859468497,36222.7406685777,38770.6978019714,41507.559338835,44463.594992917,47676.988694454,51196.863245021,55087.9040389842,59437.7175693602,64369.1294244818,70062.0266154275,76795.2948675315,85036.1491918707,95660.458237938,110634.580814381,136233.012436892
"2",0,1783.65737325416,3613.64865353357,5492.44541071637,7422.72240628232,9407.38049531842,11449.5728489588,13552.7350922484,15720.6200806436,17957.3381991775,20267.4042713358,22655.7924228143,25128.0005759621,27690.1266776181,30348.9593189512,33112.0861363892,35988.0243519794,38986.3791111293,42118.0370379455,45395.4048472978,48832.7062170329,52446.3548705664,56255.4286233152,60282.2790659917,64553.3262976765,69100.1104883686,73960.7067929949,79181.6655359841,84820.7305690123,90950.7432549783,97665.4124340657,105088.134840348,113386.032514709,122793.413010028,133653.436786045,146498.118651099,162218.738731742,182486.143003078,211051.444948775,259884.151165808
"3",0,2058.48631514723,4170.44574400396,6338.7306801113,8566.42801671734,10856.8855775624,13213.7423797169,15640.9634151378,18142.8797855913,20724.2352111816,23390.2401670259,26146.6352005118,28999.7653631537,31956.6681837432,35025.178251047,38214.0523173344,41533.1199526171,44993.4662793369,48607.6553510375,52390.0055301796,56356.9321029256,60527.3778469296,64923.360119643,69570.6744826426,74499.8118885169,79747.1722699515,85356.6974660794,91382.1103539727,97890.0520555428,104964.587453963,112713.864205851,121280.292222569,130856.743991443,141713.629569005,154246.984158468,169070.796308777,187213.676094368,210603.916261394,243570.608197294,299927.540300219
"4",0,1630.04477366969,3302.433073693,5019.4236127706,6783.46079588534,8597.19564993547,10463.5097878388,12385.5429508554,14366.7247900578,16410.8116948408,18521.9296618993,20704.6244339952,22963.9204399933,25305.3904577847,27735.2384297415,30260.3985279133,32888.6544519572,35628.7841304745,38490.7366069273,41485.8501018926,44627.1233179712,47929.5563916642,51410.5841138565,55090.63310581,58993.848108029,63149.0529798705,67591.0437579645,72362.3617477127,77515.7777699284,83117.8599248984,89254.2466359424,96037.7074318277,103620.971426,112218.167075936,122142.9010879,133881.369953914,148248.094743971,166770.024405871,192875.218061942,237502.341379914
"5",0,1148.63569321791,2327.10939244163,3537.01273372349,4780.06820398984,6058.14388942345,7373.27036213186,8727.66008826141,10123.7298232908,11564.126563797,13051.7577557292,14589.8266254482,16181.8737127142,17831.825959719,19544.055068248,21323.4473074685,23175.4875790199,25106.3613829983,27123.0794632915,29233.6314684434,31447.1771307593,33774.2865232009,36227.2453347491,38820.4474928911,41570.90695405,44498.9348864884,47629.0508434735,50991.2321990073,54622.6647097792,58570.2565940507,62894.3542615185,67674.4224655084,73018.0840848093,79076.2279742327,86069.8418405384,94341.5313922778,104465.261215569,117517.018971298,135912.438346328,167359.615477087
"6",0,1435.39464486823,2908.07640721605,4420.03427787808,5973.42076571724,7570.57032796722,9214.0204726877,10906.5360121487,12651.1370491492,14451.1314076878,16310.1523827858,18232.2028919844,20221.7073771164,22283.5731485031,24423.263311086,26646.8839998544,28961.289431935,31374.2093285668,33894.4046783665,36531.8597599022,39298.0210490036,42206.0974562197,45271.4418147209,48512.0415216913,51949.1580981528,55608.1734317894,59519.72842612,63721.2843600896,68259.3104809386,73192.4257273701,78596.0420980072,84569.4628637245,91247.1791471564,98817.7494751236,107557.331529942,117894.063147011,130545.20019616,146855.352578946,169843.221245164,209141.242294167
"7",0,2128.62640670803,4312.54794997021,6554.71421471664,8858.31727583955,11226.8190295712,13663.9824874865,16173.9077431929,18761.0734747958,21430.3850381412,24187.2304481232,27037.5458533909,29987.892504367,33045.5477239627,36218.6130537875,39516.1436204068,42948.303922919,46526.556794075,50263.8943902723,54175.1229524902,58277.2170952026,62589.7650451728,67135.5343710422,71941.1995826892,77038.2905699984,82464.4475433258,88265.1095995697,94495.8301489901,101225.521018122,108541.111485475,116554.434190405,125412.751466245,135315.507665201,146542.326694772,159502.738113324,174831.651285608,193592.724760404,217779.955208527,251869.941855606,310147.158950809
"8",0,1803.70436170608,3654.26338925185,5554.17643113121,7506.14831116284,9513.11248789746,11578.2575717785,13705.057801733,15897.3082125345,18159.165386901,20495.1948915918,22910.4267577934,25410.420700432,28001.3432027547,30690.0591546696,33484.2414720208,36392.5031041264,39424.5571511175,42591.4125946965,45905.6155920238,49381.5496845553,53035.8130738072,56887.6979957182,60959.8072563338,65278.8578970899,69876.7445761471,74791.9703849873,80071.6088392249,85774.0527886817,91972.9622792518,98763.0993691107,106269.247680274,114660.407581645,124173.520069543,135155.602473237,148144.649053666,164041.957266201,184537.152157792,213423.506950756,262805.056635311
"9",0,1374.85666060498,2785.42784892181,4233.61866979856,5721.49084971429,7251.28038981898,8825.41777838964,10446.5512213245,12117.5734481342,13841.6527748446,15622.269261715,17463.2570026394,19368.8538379532,21343.7601114293,23393.2085207399,25523.0476737158,27739.8427098492,30050.9973482275,32464.9030814594,34991.1230996682,37640.62112185,40426.0489707718,43362.1119715643,46466.0389002396,49758.1945699842,53262.890383565,57009.4749598032,61033.8296425899,65380.4638316992,70105.5242033094,75281.2422437,81002.7330934143,87398.8156918342,94650.0960816531,103021.084953549,112921.86336555,125039.436813684,140661.706075399,162680.057935534,200320.679057384
"10",0,1368.23952448995,2772.02168394254,4213.24241400411,5693.95351813762,7216.38023569923,8782.94135711245,10396.2723425548,12059.2519989331,13775.033393281,15547.0798364517,17379.2069689818,19275.6322346324,21241.0333545893,23280.6178417371,25400.2061547657,27606.3318353848,29906.3629688456,32308.650659802,34822.712071084,37459.4581536988,40231.4798376414,43153.4116718365,46242.3995108113,49518.710152632,53006.5379901505,56735.0903883312,60740.075995436,65065.7899890836,69768.1088135009,74918.9163073977,80612.8698255353,86978.1683063308,94194.5485420301,102525.248142782,112378.374461097,124437.62646003,139984.706296481,161897.084613728,199356.542767427
