"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,7565.3301155569,15327.1841305161,23296.0451355833,31483.2580526467,39901.1267729578,48563.0253788367,57483.5259725309,66678.546179718,76165.5200772239,85963.5971556375,96093.8750223189,106579.672952676,117446.855208284,128724.215398266,140443.936258628,152642.143335356,165359.576569259,178642.41125524,192543.270108313,207122.482438346,222449.666568862,238605.740490993,255685.507817183,273801.028618064,293086.079593984,313702.155391022,335846.697836612,359764.625773702,385764.893693586,414244.964876693,445728.222929339,480923.511056411,520824.637829368,566887.108212048,621367.447315039,688045.993494757,774009.590650395,895168.475933103,1102290.95837145
"2",0,6836.02271433151,13849.6241753539,21050.2768905566,28448.2321169947,36054.6076352257,43881.4882491017,51942.0412917646,60250.6499096241,68823.0675124278,77676.5975556275,86830.3038105231,96305.2575448498,106124.829672622,116315.038062588,126904.96299426,137927.247465252,149418.704034502,161421.056640021,173981.855100477,187155.612903884,201005.237079238,215603.845020879,231037.101152986,247406.262813508,264832.210459512,283460.870448734,303470.650966473,325082.860369136,348576.669543906,374311.225807769,402759.457924763,434561.875717393,470616.483352618,512238.47327302,561466.838711653,621717.488621277,699394.086176905,808873.101525161,996028.714429046
"3",0,8014.38872588593,16236.9665062717,24678.8386812655,33352.0235782488,42269.5554159302,51445.602127887,60895.6007790164,70636.4138244692,80686.5101831988,91066.1760104868,101797.761213606,112905.969240399,124418.199588736,136364.954982593,148780.328442725,161702.589834956,175174.897318594,189246.167035724,203972.145250886,219416.742267194,235653.708773466,252768.765845443,270862.344395081,290053.156091663,310482.918277681,332322.711507594,355781.697249787,381119.33210215,408662.909302918,438833.484534388,472185.508112637,509469.898358858,551739.453774788,600536.074369344,658250.226801582,728886.640626052,819952.816636539,948303.382893245,1167720.12516044
"4",0,6861.98063286278,13902.2143189294,21130.2095349348,28556.2564642666,36191.5151042003,44048.1161473111,52139.2769260717,60479.4352029396,69084.4042069086,77971.5530985498,87160.0180385981,96670.9503071399,106527.809562816,116756.712470086,127386.849732833,138450.988301489,149986.080520575,162034.008763295,174642.50340569,187866.284935773,201768.499254702,216422.541400039,231914.401083084,248345.720138712,265837.838034322,284537.235242912,304622.997405858,326317.273237262,349900.293699067,375732.569871545,404288.826335812,436212.005074485,472403.520178685,514183.558173034,563598.854807318,624078.290010257,702049.843108807,811944.57494603,999810.859881802
"5",0,5698.33264990031,11544.6903740994,17546.9692111213,23713.7143450914,30054.1932718318,36578.4795729026,43297.5491984269,50223.3915691865,57369.1383222256,64749.2131728066,72379.5071901911,80277.5848410183,88462.9275178979,96957.223046802,105784.712000522,114972.604741993,124551.587273193,134556.439595329,145026.798013825,156008.103569708,167552.793943808,179721.8179148,192586.583142611,206231.495138895,220757.316742515,236285.688410727,252965.32661651,270980.708311701,290564.543165037,312016.207139416,335729.921484508,362239.598708603,392293.791980435,426988.811881409,468024.310709125,518247.702278311,582996.915451118,674255.805848019,830263.909417727
"6",0,7131.09758959096,14447.4390593456,21958.9057947052,29676.1915451686,37610.8939869648,45775.6195608888,54184.1039640779,62851.3511871537,71793.7946310822,81029.4846497931,90578.3078965709,100462.245174118,110705.676194962,121335.741881369,132382.777754418,143880.835836947,155868.317690989,168388.748255856,181491.729823912,195234.128941571,209681.568000917,224910.32048674,241009.74850246,258085.480128725,276263.613591364,295696.37411569,316569.87082294,339114.964778518,363622.877197427,390468.257883143,420144.449428311,453319.609070296,490930.503057261,534349.093720089,585702.386824714,648553.738011868,729583.222661661,843787.866953438,1039021.99589501
"7",0,6745.84303882912,13666.9222350363,20772.5851363666,28072.9477669956,35578.9812435675,43302.6109492107,51256.8305157964,59455.8333496576,67915.1650441785,76651.9007905025,85684.852873827,95034.8145932252,104724.848557498,114780.629411994,125230.853814009,136107.73414016,147447.597324226,159291.616888961,171686.715383728,184686.687163667,198353.609398703,212759.634930663,227989.298112878,244142.520513325,261338.58795417,279721.501756892,299467.316575661,320794.421303827,343978.304052628,369373.374327334,397446.32209433,428829.207676992,464408.188920559,505481.108467494,554060.061491001,613515.894840659,690167.795631162,798202.582004326,982889.269167993
"8",0,6871.90517745521,13922.3212171158,21160.7703479124,28597.557636018,36243.8592195129,44111.8233357026,52214.6864334073,60566.9071565505,69184.3216049423,78084.3240603274,87286.0783602432,96810.7663760634,106681.881696345,116925.578758315,127571.090484637,138651.231216878,150203.006744068,162268.360014267,174895.090436391,188137.997641187,202060.318858303,216735.555277205,232249.82097689,248704.904797738,266222.321701515,284948.764017251,305063.576399503,326789.228858065,350406.357655455,376275.995282375,404873.552918393,436842.902438925,473086.761658438,514927.226499253,564413.992923562,624980.900080113,703065.22414044,813118.8977213,1001256.89536249
"9",0,7269.13774919591,14727.1052353556,22383.9751227531,30250.6481650502,38338.9465403927,46661.7207186438,55232.9722855787,64067.9956714369,73183.542386601,82598.0121945698,92331.676704346,102406.94221183,112848.66035962,123684.497450152,134945.376224089,146666.007866007,158885.53729584,171648.331986535,185004.954406399,199013.371895526,213740.477130882,229264.020060577,245675.09261417,263081.367566963,281611.384090096,301420.314107356,322697.869345679,345679.379761533,370661.703882061,398026.743791053,428277.391956103,462094.73946249,500433.686002882,544692.751657059,597040.115686579,661108.111358016,743706.123552586,860121.483253542,1059134.85514907
"10",0,7648.19686403197,15495.070249532,23551.2180736081,31828.1095246082,40338.1832643021,49094.9598678528,58113.1710528468,67408.9087984748,76999.7981455046,86905.1983382297,97146.4380763878,107747.092062777,118733.307862838,130134.194476128,141982.287151851,154314.107136705,167170.840615931,180599.168664943,194652.290401007,209391.195950326,224886.266199858,241219.305474934,258486.155818179,276800.104748801,296296.394288556,317138.288013103,339525.390426455,363705.303087031,389990.364615269,418782.391900652,450610.50142526,486191.300699127,526529.483963429,573096.499037357,628173.587850978,695582.496649453,782487.694987683,904973.692599779,1114364.88855011
