"","t","sigma","pop_size","inference_model","file","demography","replication","sample_size","mutation_rate","recombination_rate","chromosome_length"
"1",0,0.99,37470.0655703645,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"2",164.366486107074,0.99,37470.0655703645,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"3",202.240199268629,0.972632103384828,38030.1333945908,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"4",248.84086269004,0.972632103384828,38030.1333945908,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"5",306.179360820717,0.985156010316737,40212.1880904324,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"6",376.729930844815,0.985156010316737,40212.1880904324,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"7",463.536929510555,0.989765961790692,41707.5202018576,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"8",570.346201424016,0.989765961790692,41707.5202018576,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"9",701.76671753485,0.99,41312.435945874,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"10",863.469458742852,0.99,41312.435945874,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"11",1062.43212673398,0.99,35716.0616635848,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"12",1307.240241664,0.99,35716.0616635848,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"13",1608.45761948013,0.99,33329.285502114,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"14",1979.08221550041,0.99,33329.285502114,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"15",2435.10700454511,0.99,42873.173609971,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"16",2996.21010039006,0.99,42873.173609971,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"17",3686.60389417114,0.99,56080.1651430306,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
"18",4536.07985326145,0.99,56080.1651430306,"Free","results/esmc/demographic_scenario_5/rep_6.nsam_20.mu_1e-8.r_1e-8.length_1e6.Free.RDS",5,6,20,1e-08,1e-08,1e+06
