"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,982.015183123139,1989.54008626005,3023.93546354596,4086.67393882878,5179.35261465868,6303.70750938493,7461.63014993871,8655.18671847678,9886.64023959757,11158.4764066178,12473.43378751,13834.5393331355,15245.1503454466,16709.004369389,18230.2788744069,19813.6631250946,21464.4453560468,23188.6193362046,24993.0157397533,26885.4655928837,28875.0056791438,30972.1395317125,33189.1731022686,35540.6523113605,38043.9419995015,40720.0049260192,43594.4699622727,46699.1287179783,50074.0849290883,53770.9311857674,57857.6051245962,62426.1179042442,67605.4705189029,73584.594310862,80656.3967786511,89311.5834971279,100470.059903746,116197.049090012,143082.514682895
"2",0,939.588972146413,1903.58556244314,2893.29173607487,3910.11649480798,4955.58794123121,6031.36709212358,7139.26375437565,8281.25484443669,9459.50561697172,10676.3943753601,11934.5413726391,13236.8427856679,14586.510870168,15987.1216971352,17442.6722559121,18957.6492197967,20537.1123546589,22186.7964793644,23913.237161028,25723.9271003488,27627.512662792,29634.0435951568,31755.2941924724,34005.1819447855,36400.3214757089,38960.7698860167,41711.048797484,44681.5763201456,47910.7235797132,51447.8542006977,55357.9706955056,59729.1090451344,64684.6969863655,70405.5034204944,77171.7813010465,85453.0361454832,96129.4305208432,111176.963245832,136900.890346181
"3",0,889.670751585387,1802.45240019907,2739.57774058295,3702.38091745095,4692.30884878419,5710.93430532601,6759.97094305184,7841.29064934582,8956.9436438277,10109.1818760389,11300.4863909452,12533.59949813,13811.5627934899,15137.7623595192,16515.9828346269,17950.4725253848,19446.0223838342,21008.0625509857,22642.7813741689,24357.2734839728,26159.7258841718,28059.6544014237,30068.2077892988,32198.5641333186,34466.4553600117,36890.8729821028,39495.035843492,42307.7460093575,45365.3360349584,48714.5469679455,52416.9278853965,56555.8376172914,61248.1464660755,66665.0194933303,73071.8204519183,80913.1111012641,91022.2929773031,105270.384585237,129627.65806921
"4",0,893.760244055432,1810.73761751694,2752.1705818349,3719.39941430068,4713.87768385046,5737.18539068195,6791.04406782308,7877.33420704263,8998.11545207337,10155.6501038487,11352.4306117946,12591.2118908931,13875.0495181494,15207.3451406461,16591.9007933968,18032.9843108914,19535.4086674333,21104.6289644138,22746.8619947418,24469.2350004394,26279.9726179564,28188.6344147401,30206.4203911214,32346.5692074821,34624.8851042882,37060.4468913325,39676.5801410856,42502.2193113308,45573.8639648532,48938.4700008789,52657.8694151795,56815.8042079215,61529.681891772,66971.4543117702,73407.7050013183,81285.0392083609,91440.6893122097,105754.2742088,130223.50920924
"5",0,869.847216931974,1762.29037671702,2678.53480511565,3619.88491959283,4587.75539808051,5583.68396703709,6609.34609896558,7666.57197208483,8757.36612327228,9883.93032440571,11048.6903381109,12254.3273701653,13503.8152439985,14800.4645938297,16147.9757292186,17550.5022964905,19012.7284962808,20539.9634758633,22138.257694571,23814.5477013034,25576.8380780204,27434.4326208963,29398.2316683405,31481.1196733883,33698.4780257091,36068.8750714688,38615.0122951331,41365.049997794,44354.5111771667,47629.0954026069,51248.9803221997,55295.6673746917,59883.4227727722,65179.5976990974,71443.6431039103,79110.2150759951,88994.1454004009,102924.762777299,126739.310478602
"6",0,952.332252042674,1929.40315327042,2932.53232691548,3963.14788448734,5022.798653636,6113.16817886521,7236.0908127727,8393.57028395686,9587.80121358984,10821.194161055,12096.4049168627,13416.3689375929,14784.3420455423,16203.9488125671,17679.2404376226,19214.7644450118,20815.6492242419,22487.7073732972,24237.5630986478,26072.8107215794,28002.2138748498,30035.9586060668,32185.9789004446,34466.3810055363,36894.0048826344,39489.1796591723,42276.7595341466,45287.5751665912,48560.5180948766,52145.6214431589,56108.7693276462,60539.1917271157,65561.9903807517,71360.3858881707,78218.4321647383,86612.0024486951,97433.1966097501,112684.813170275,138757.623891854
"7",0,1273.08567609084,2579.24218418994,3920.23360761087,5297.96905769863,6714.51902013901,8172.13407122842,9673.26638877778,11220.5945738446,12817.0524142667,14465.862365879,16170.5747115269,17935.1135939836,19763.8314235776,21661.5735581157,23633.7556740593,25686.4569397235,27826.5330288597,30061.7542708027,32400.9759598625,34854.3502479039,37433.5924320938,40152.3193056025,43026.4843191323,46074.9448217484,49320.2126137829,52789.4638418875,56515.9238060196,60540.8071876274,64916.1045187066,69708.7004958078,75006.6695535064,80929.2950696523,87643.8140897913,95395.1574355313,104563.050743712,115783.645317556,130249.507683435,150637.99556546,185492.345813364
"8",0,943.178509213265,1910.85788165811,2904.3450564519,3925.05441820842,4974.51990736792,6054.40888633655,7166.53807605892,8312.89194545146,9495.64402115993,10717.1816924602,11980.1352226128,13287.4118528194,14642.2361106686,16048.1977289165,17509.3089667119,19030.0736379116,20615.5708383454,22271.5572957621,24004.5935452795,25822.2009121633,27733.0587938215,29747.2553303718,31876.6097984999,34135.0928576148,36539.3826046235,39109.6127649827,41870.3986410798,44852.274550075,48093.7582079254,51644.4018243267,55569.4562425351,59957.2937697782,64931.8136771461,70674.4754622383,77466.6027364901,85779.4946819415,96496.6763744017,111601.695594105,137423.896506268
"9",0,1134.16383341914,2297.7897386448,3492.44929843137,4719.84329779444,5981.81628657581,7280.37325335378,8617.69878903097,9996.17919996569,11418.4281327673,12887.3164019703,14406.0068759326,15977.9954865415,17607.1596997647,19297.8161375607,21054.7895061462,22883.495601936,24790.0419928405,26781.3510931725,28865.3118885118,31050.9687061119,33348.7584447567,35770.8120039063,38331.3419594656,41047.1479060776,43938.2851080822,47028.9641926534,50348.7848436726,53934.4643080479,57832.3197992844,62101.9374122237,66821.7807100182,72098.1166121894,78079.9328987652,84985.4330141597,93152.9061183356,103149.085318301,116036.401720272,134200.054024413,165251.022730525
"10",0,1044.28381123478,2115.69488903055,3215.6802716194,4345.80596049587,5507.77032893023,6703.41947450762,7934.76486404313,9204.00369429546,10513.5424860529,11866.0245480289,13264.3620981289,14711.7740232257,16211.8305085248,17768.5060930633,19386.243135562,21070.0282423244,22825.4849697599,24658.9871458716,26577.7985712546,28590.2468298574,30705.941718888,32936.0527903533,35293.6663043651,37794.2505241529,40456.2713778864,43302.0208530831,46358.7529229208,49660.2750721818,53249.2339757291,57180.4936597149,61526.2996202108,66384.4973540104,71892.2676829406,78250.5219020393,85770.7404895723,94974.7441838678,106840.768731897,123564.991013725,152155.237843583
