"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,1425.93960944554,2888.92072376661,4390.91923218924,5934.07346486417,7520.70250180747,9153.32713635254,10834.6939687759,12567.8032082681,14355.9408899816,16202.7163761934,18112.1062169733,20088.5057100756,22136.7898410576,24262.3857290429,26471.3592875227,28770.5195844615,31167.5454249351,33671.1400883732,36291.222086269,39039.1624957908,41928.0832195574,44973.235960655,48192.4896321433,51606.9657040589,55241.8788719842,59127.6682058663,63301.5482248337,67809.6820802523,72710.302584164,78078.3249915815,84012.3984564457,90646.1281998496,98166.8307016571,106848.844576043,117117.487487372,129685.29069564,145888.007071834,168724.453191431,207763.615687222
"2",0,1302.23923955848,2638.30663061909,4010.00665386678,5419.29213914863,6868.28098611238,8359.27530907751,9894.78344053703,11477.5453213054,13110.5619227349,14797.1294946497,16540.8796210977,18345.8263074178,20216.4216337983,22157.6219163649,24174.9668501508,26274.6748159551,28463.7584819275,30750.1661173435,33142.9558020674,35652.5121714561,38290.8188020752,41071.8043106048,44011.7874805336,47130.0574927615,50449.6416661058,53998.3384788739,57810.134087821,61927.1869874112,66402.6782887996,71305.0243429122,76724.3164820609,82782.5696642176,89650.85065033,97579.6991588673,106957.536514368,118435.081835674,133232.211330323,154087.59400713,189740.106178586
"3",0,1509.26547105612,3057.73699539408,4647.50592482409,6280.83554443961,7960.18045145477,9688.20874367159,11467.827521035,13302.2123122332,15194.8411743727,17149.5343855502,19170.5008685523,21262.3927636879,23430.3699299899,25680.1766243999,28018.2332266609,30451.7466977834,32988.8445596366,35638.7386743788,38411.9271492382,41320.4455388941,44378.1825342881,47601.2810833337,51008.6542825656,54622.6578511272,58469.9799244443,62582.838302582,67000.622163294,71772.1922366775,76959.1842132729,82640.8910777881,88921.7266222277,95943.1033900213,103903.283841476,113092.637775572,123961.336616682,137263.548928915,154413.083314466,178583.994467809,219904.440006703
"4",0,1217.24740428779,2466.11513482362,3748.28990120976,5065.59708006686,6420.01634438468,7813.69955888564,9248.99134744795,10728.4528261422,12254.8891051803,13831.3813016259,15461.323980872,17148.4691705269,18896.9783816928,20711.4844519891,22597.165523185,24559.8341277682,26606.0452456862,28743.2283951492,30979.8504721528,33325.6183493272,35791.7334841508,38391.2154293941,41139.3179082129,44054.0711754695,47156.9996509532,50474.0875198542,54037.1028013163,57885.4524770954,62068.8467444765,66651.2366986545,71716.8337787213,77379.6895247967,83799.7058691814,91211.0708264226,99976.8550479817,110705.307874124,124536.68917575,144030.926223451,177356.544572778
"5",0,1504.22096442556,3047.5169414383,4631.97229280045,6259.84273889478,7933.57467279096,9655.82727455103,11429.497927549,13257.751546717,15144.0545642471,17092.2144894961,19106.4261775206,21191.326219508,23352.0572283909,25594.3442617439,27924.5862400975,30349.9660362132,32878.5840068663,35519.6212248674,38283.5407090041,41182.3377868145,44229.8547282528,47442.1805257093,50838.1650613656,54440.0893335316,58274.5522763107,62373.6640063225,66776.6820485585,71532.3038230277,76701.959011682,82364.6755736291,88624.5183125239,95622.4271203461,103556.001793137,112714.641609842,123547.013360444,136804.764907161,153896.979396657,177987.102693975,219169.44048079
"6",0,1371.83815622341,2779.31242874207,4224.32373973723,5708.92928915759,7235.36016900191,8806.04153139854,10423.6157680969,12090.9692576064,13811.2633598996,15587.970494747,17424.916338271,19326.3294266083,21296.8997839046,23341.8486194192,25467.0117003364,27678.9397523534,29985.0202396566,32393.6262312927,34914.2999213553,37557.9809579428,40337.2933866849,43266.9102471004,46364.0224893413,49648.9502155492,53145.9514526898,56884.3103845511,60899.829577362,65236.9207102962,69951.6071892355,75115.9619158856,80824.8912050432,87206.931173492,94442.2913424939,102794.901668239,112673.942873828,124764.912131435,140352.882626182,162322.893089378,199880.87404732
"7",0,1569.09989825828,3178.9601633277,4831.7550581034,6529.83759501293,8275.75968312255,10072.2951962603,11922.4664855733,13829.5749727378,15797.2366015073,17829.4231038849,19930.5102642788,22105.3346558604,24359.2606988978,26698.260379868,29129.0086127569,31658.9980766227,34296.6785067722,37051.626967183,39934.7577597453,42958.5835854947,46137.5437488224,49488.4211805076,53030.8787817549,56788.1585582325,60788.0066893796,65063.918241355,69656.8439653627,74617.5816621174,80010.2105526777,85917.1671709893,92447.0047660023,99746.7421437272,108022.50182685,117576.165247612,128875.750756484,142705.325729222,160534.748833107,185663.909314716,228622.492900211
"8",0,1453.11802702275,2943.98357022792,4474.61017930213,6047.17694098171,7664.04713696186,9327.78960691215,11041.203301327,12807.3456134022,14629.5652101403,16511.5402482848,18457.3230709741,20471.3927503641,22558.7171892665,24724.8269477281,26975.9035555879,29318.885861687,31761.5990291724,34312.9122220323,36982.9329986489,39783.2491689901,42727.2327392181,45830.4261099718,49111.0387759023,52590.5947823924,56294.7894172749,60254.6419193542,64508.0761167182,69102.1350306772,74096.1613910224,79566.4983379803,85613.675278962,92373.8439513825,100037.891088344,108885.384199667,119349.74750697,132157.093120373,148668.633368657,171940.342289363,211723.591458353
"9",0,1425.95417436805,2888.95023196331,4390.96408219407,5934.13407705253,7520.77932024245,9153.42063084528,10834.804637192,12567.9315791182,14356.0875253407,16202.8818750034,18112.2912187937,20088.7108993607,22137.015952056,24262.6335514371,26471.6296729543,28770.8134541216,31167.8637784481,33671.4840142611,36291.5927743641,39039.5612520725,41928.5114840358,44973.6953291251,48192.9818829178,51607.4928311907,55242.443127076,59128.2721514332,63302.1948035097,67810.3747061942,72711.0452663337,78079.1225041451,84013.2565811976,90647.0540832633,98167.8334035057,106849.935958267,117118.683756218,129686.615335336,145889.497210339,168726.176587408,207765.737839481
"10",0,1735.63235934572,3516.35108425347,5344.56119752818,7222.8654426381,9154.08656908336,11141.2928487962,13187.8274025416,15297.3420400608,17473.8364741794,19721.7039666617,22045.7847147603,24451.4286091441,26944.5694092998,29531.8129234301,32220.5424906854,35019.0460067225,37936.6699981982,40984.007966626,44173.1325758059,47517.8845307461,51034.2356149996,54740.7499733842,58659.1773795423,62815.2265708069,67239.5884974079,71969.3131398903,77049.6974541763,82536.9305374686,88501.8924973721,95035.7690614923,102258.63450413,110333.111101553,119487.197670636,130054.815068215,142553.653592238,157850.995632299,177572.699598961,205368.880163045,252886.764693791
