"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,594.026427608497,1203.48382625441,1829.19532365683,2472.05171814416,3133.01910590178,3813.14761405195,4513.58143772014,5235.57042194588,5980.48348285276,6749.82423010636,7545.24923865316,8368.58952784766,9221.87594825052,10107.3693615166,11027.5967420686,11985.3946520522,12983.9619738867,14026.9243716282,15118.413757954,16263.1671640144,17466.6509902689,18735.2188821586,20076.3147780664,21498.7375859603,23012.9913941208,24631.7566918621,26370.536525531,28248.5618160667,30290.0915356427,32526.3343280289,34998.386046173,37761.9047499748,40894.9238558765,44511.7289800811,48789.5014920433,54025.0719139892,60774.8961440956,70288.2390780036,86551.4062420181
"2",0,372.22472971214,754.1187077214,1146.1977166235,1549.01994230311,1963.19075326705,2389.36817290631,2828.26916885319,3280.67691035806,3747.4491781701,4229.52815377377,4727.95186869936,5243.86766362511,5778.54809607688,6333.40985154085,6910.03636524442,7510.20506413183,8135.92040976993,8789.4542906819,9473.39581739887,10190.7132756025,10944.8319833239,11739.7332179056,12580.0814485088,13471.3901859605,14420.2414293762,15434.5809392276,16524.1231271433,17700.9183397343,18980.1675662844,20381.426551205,21930.4464935081,23662.103461563,25625.2942148301,27891.6316153368,30572.1398268074,33852.8167371655,38082.3448909393,44043.530012768,54234.2432883704
"3",0,523.546723282375,1060.69357266727,1612.1660138918,2178.74915435905,2761.29446543245,3360.72747935828,3978.05663545992,4614.38348788487,5270.91453438753,5948.97498522272,6650.02486698992,7375.67795331732,8127.72413958177,8908.15604203092,9719.2008160864,10563.3584731076,11443.4483563609,12362.6659542085,13324.65293854,14333.5843039713,15394.2778766385,16512.3334583303,17694.3117833295,18947.9677918561,20282.559289194,21709.2622572886,23241.7403460022,24896.9427770789,26696.2502581797,28667.1686079425,30845.9177623016,33281.5520958274,36042.8465612599,39230.5270810501,43000.7529119138,47615.1363997987,53564.1113850214,61948.7207037699,76282.3050077412
"4",0,546.536644198688,1107.27062160605,1682.95925452364,2274.42212589665,2882.54809679689,3508.30334133164,4152.74058129088,4817.00974213572,5502.37030120522,6210.20566122798,6942.03996131638,7699.55783893261,8484.62778712463,9299.32992166574,10145.9891965593,11027.2154033637,11945.9516880086,12905.5338587579,13909.7635001606,14962.998938695,16070.2695603011,17237.4210645917,18471.3022800267,19780.0086808308,21173.204599923,22662.5567776277,24262.3288603608,25990.2143420587,27868.532797453,29925.9978773901,32200.4200032867,34743.0076195258,37625.5557163227,40953.2132807538,44888.9968160851,49706.0065582208,55916.2122194488,64669.0054969159,79632.0044356109
"5",0,533.458905656139,1080.77542528405,1642.68875968666,2219.99888051394,2813.57337982892,3424.35531275406,4053.37221114842,4701.74648461541,5370.70747323703,6061.60547715054,6775.92816528279,7515.31986444433,8281.60435766448,9076.81198690814,9903.21207378713,10763.3519617659,11660.1043720491,12596.7252924004,13576.9253415949,14604.9585584025,15685.7339836866,16824.9574389165,18029.3138711566,19306.7050430179,20666.5640355531,22120.2784228469,23681.7705453107,25368.3105201685,27201.683850803,29209.9171168051,31429.915997319,33911.6636014205,36725.2369812494,39973.269078571,43814.8756752076,48516.622159823,54578.2276369736,63121.5807182256,77726.5392766281
"6",0,531.008085678983,1075.81012059981,1635.14190952481,2209.79974886961,2800.64724480077,3408.62311985149,4034.75018518803,4680.14569383313,5346.03333802753,6033.7572143518,6744.79815707564,7480.7929386339,8243.55696322141,9035.1112449943,9857.71467983399,10713.9029081849,11606.5354533794,12538.8533445033,13514.5501529857,14537.8603736671,15613.6704942669,16747.6601225367,17946.4834935186,19218.0060675002,20571.6175880189,22018.653312301,23572.9716186614,25251.763281852,27076.7137181705,29075.7207473342,31285.5204962038,33755.8664411674,36556.5136859681,39789.6236555192,43613.5811210013,48293.7268148345,54327.4840291863,62831.5871885016,77369.4475621687
"7",0,538.111224551842,1090.20091594462,1657.01472158442,2239.35958970962,2838.11067869231,3454.21926808072,4088.72185088505,4742.75062529289,5417.5456525159,6114.46900871902,6835.02133685614,7580.86130398521,8353.82859842865,9155.97126885413,9989.57842772842,10857.2196340119,11761.7926620388,12706.5818951873,13695.3303127042,14732.3290530213,15822.5299689659,16971.6886427309,18186.548321102,19475.0796783142,20846.7980617403,22313.1903570065,23888.3003218754,25589.5486870332,27438.9109482087,29464.6581060426,31704.0176957523,34207.4087313355,37045.5194100278,40321.8777400545,44196.9871590639,48939.7377843568,55054.2067930759,63672.0668373781,78404.3958903994
"8",0,468.102159386401,948.364166429957,1441.4346587078,1948.01559930057,2468.86828718342,3004.8202390302,3556.77309857948,4125.71176336226,4712.71496079485,5318.96755892119,5945.77496483024,6594.58005054568,7266.98315822176,7964.76588236928,8689.91951854181,9444.67932228345,10231.5660632072,11053.4368215624,11913.5476094669,12815.6312819041,13763.995448334,14763.6468812046,15820.4515209343,16941.3430452663,18134.5988408253,19410.2113324497,20780.3971642734,22260.3106041875,23869.0681034664,25631.2625638081,27579.2781631087,29756.9743271704,32225.8426143538,35075.9418860916,38446.8938457122,42572.6056090745,47891.5731679957,55388.2368909785,68203.8681728826
"9",0,679.433866131559,1376.51732464291,2092.19185022695,2827.47631767456,3583.47572574637,4361.39118587017,5162.53140230822,5988.32591928245,6840.34047180236,7720.29485427567,8630.08381930613,9571.80164502882,10547.7711719502,11560.5783220151,12613.1133908768,13708.6207735581,14850.7592787389,16043.6758581918,17292.0964993045,18601.4393101592,19977.9566348021,21428.9156278338,22962.8304960294,24589.7652294417,26321.7341644349,28173.2409551881,30162.0176321743,32310.0600837173,34645.115168351,37202.8786203184,40030.354937993,43191.2045396009,46774.6802653473,50911.4993938766,55804.3179304777,61792.6438497601,69512.9387040358,80394.0831599193,98995.5224700786
"10",0,726.559958144879,1471.99369891962,2237.3079984765,3023.59240160025,3832.02855067477,4663.90086720478,5520.60882825702,6403.68113241692,7314.79211536259,8255.78085785693,9228.67353410338,10235.7096830917,11279.3732594572,12362.4295468185,13487.9693141136,14659.4619902739,15880.8201619596,17156.4784169306,18491.4905409486,19891.6504465305,21363.6441454502,22915.2428481308,24555.5513137353,26295.3315789475,28147.4313043875,30127.3601296222,32254.079993349,34551.1124368044,37048.1288634612,39783.3008930611,42806.8932946613,46186.982025478,50019.0105761528,54442.7628833349,59674.9513395916,66078.6324720085,74334.4133298655,85970.282918539,105861.93336507
