"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,1031.65874715301,2090.11680071383,3176.80370467571,4293.26652806578,5441.18311135361,6622.37723338297,7838.83604296537,9092.73017343914,10386.4370515102,11722.568029118,13104.0001163658,14533.9132847928,16015.8345571838,17553.6904216444,19151.8695301703,20815.2982025572,22549.5320081795,24360.8677174568,26256.4813139108,28244.5997036094,30334.7165043233,32537.8662316752,34866.9769369924,37337.3298770486,39967.1677327275,42778.5129884022,45798.2901252539,49059.8979061666,52605.4674210662,56489.1994072189,60782.4659352847,65581.929580658,71023.1126920116,77304.4976097761,84733.7991108283,93826.5292842675,105549.097313386,122071.128987877,150315.728691486
"2",0,736.118028538361,1491.35812884081,2266.7403214412,3063.36848434707,3882.43980473108,4725.25560097072,5593.23376058895,6487.92309256751,7411.01995887166,8364.38763381254,9350.07894640087,10370.3628972986,11427.7561181596,12525.0602705714,13665.406783278,14852.3107263801,16089.7361575531,17382.1760026219,18734.7505311111,20153.3298758455,21644.6880046863,23216.6983601926,24878.5854768162,26641.252968413,28517.7175096581,30523.6927731441,32678.3901464169,35005.6406022256,37535.5058784675,40306.6597516911,43370.0282360381,46794.5828442586,50677.0226489897,55158.9704780711,60459.9896275366,66947.9127201041,75312.3003539167,87101.2425959496,107254.572471795
"3",0,872.304021850386,1767.26780675405,2686.1000848053,3630.1089576784,4600.71309893541,5599.45457820426,6628.01360020874,7688.2255123408,8782.10051311132,9911.84659310391,11079.8963662918,12288.9386112762,13541.9555507823,14842.2671696167,16193.5842285294,17600.0721054447,19066.4282310996,20597.976747975,22200.7852043801,23881.8097408702,25649.0775476243,27511.9186985486,29481.2643190745,31570.035253211,33793.6563339741,36170.7483521464,38724.0769104869,41481.8818463149,44479.7864888453,47763.6194817404,51393.7284394188,55451.8449940812,60052.5580930167,65363.6915871851,71645.4292226107,79333.6547349515,89245.5013280554,103215.464475822,127097.274216692
"4",0,1005.9548307793,2038.04125964455,3097.65321330826,4186.29921536475,5305.61530266275,6457.37981435094,7643.53038916108,8866.18357881006,10127.6575760978,11430.4986707792,12777.5121918639,14171.7988814728,15616.797886144,17116.3378650038,18674.6981261937,20296.6822495893,21987.7073868072,23753.9134233856,25602.297552252,27540.8817050037,29578.9229646483,31727.1809203685,33998.2615193547,36407.0652838138,38971.3803757829,41712.6805864765,44657.2195700075,47837.563954593,51294.7951283893,55081.7634100074,59268.0626253722,63947.9469888175,69253.5622914803,75378.4456595967,82622.6451150112,91488.8286938212,102919.3273646,119029.710398825,146570.592103829
"5",0,909.311146194909,1842.24338618092,2800.05672990864,3784.11477470536,4795.89638075109,5837.00903931696,6909.20423709219,8014.3951852954,9154.67736424792,10332.3524375877,11549.9562218936,12810.2915660465,14116.4672122931,15471.9439943727,16880.5901004701,18346.7476228831,19875.313278835,21471.83708527,23142.6440036342,24894.9852857655,26737.2286719464,28679.1000604709,30731.9943250825,32909.3804710609,35227.3377233532,37705.276851812,40366.9292801382,43241.7329086486,46366.8223710355,49789.970571531,53574.0853462364,57804.3657568264,62600.2621375775,68136.7181944141,74684.9558572965,82699.3510425919,93031.7034801797,107594.336328357,132489.321614123
"6",0,748.876957212283,1517.20742373029,2306.02909981958,3116.46499669758,3949.73305204866,4807.15713963911,5690.17972284126,6600.37645571137,7539.47310278393,8509.36523398456,9512.1412594372,10550.10950776,11625.8302306821,12742.1536502106,13902.2654712715,15109.7416896959,16368.6150710666,17683.4564158396,19059.4747417446,20502.6419269829,22019.8493507132,23619.1069236805,25309.799066622,27103.0183826943,29012.0071609675,31052.7514347429,33244.7955771935,35612.3836166788,38186.0983428225,41005.2838539658,44121.7488506634,47605.6603096772,51555.3933617258,56115.0255436617,61507.9257809487,68108.3022366601,76617.6674706447,88610.944163643,109113.586090626
"7",0,907.633206490623,1838.84391908369,2794.88982265029,3777.1319982898,4787.0465772613,5826.23808455376,6896.45477486141,7999.60632897981,9137.78436046843,10313.2862857361,11528.6432420532,12786.6529062411,14090.4182840259,15443.3938229168,16849.4405731825,18312.8926147159,19838.6376288935,21432.2153912875,23099.9391919772,24849.0469021623,26687.890821246,28626.1789004521,30675.284986716,32848.6532311421,35162.3331878984,37635.6998084034,40292.440725079,43161.9395168782,46281.2622934498,49698.0938043245,53475.2258026143,57697.7001333044,62484.7467105656,68010.9864190405,74547.1407064868,82546.7470354666,92860.0333212028,107395.793937629,132244.840839791
"8",0,730.27364776764,1479.51754834618,2248.74362385569,3039.04698810672,3851.61532325043,4687.73961589712,5548.82649630629,6436.41247675037,7352.18045099402,8297.97889995369,9275.84435428312,10288.0278000008,11337.0258880604,12425.618036365,13556.9108118007,14734.3913767041,15961.9923162674,17244.1708849036,18586.0066999545,19993.323288551,21472.8408368972,23032.3702766578,24681.0629044481,26429.7357653014,28291.3021885047,30281.3510885518,32418.941324916,34727.7146652551,37237.4941734547,39986.6465771021,43025.6935652088,46423.0590538524,50274.6743771029,54721.0379538061,59979.9698656531,66416.3823424035,74714.3612423572,86409.7056309545,106403.028919506
"9",0,783.308553760853,1586.96504331154,2412.0548799288,3259.75270823764,4131.33246382511,5028.17888905143,5951.80076835326,6903.8462006448,7886.12029704426,8900.60578131246,9949.48708374611,11035.1786644699,12160.3584895501,13328.0078274805,14541.4588543873,15804.4519819573,17121.2053928249,18496.5000420729,19935.7844457824,21445.3050550321,23032.2700983436,24705.0577632697,26473.4839440835,28349.1512556769,30345.9108363445,32480.483719502,34773.3128825126,37249.7570369893,39941.805097105,42890.6101100642,46150.3628183018,49794.456310709,53925.7887745341,58695.0620920214,64335.9151650962,71239.7613657411,80140.3671470535,92685.0664207731,114130.371475805
"10",0,815.057515184957,1651.28770607271,2509.81997769008,3391.87658520676,4298.78309920293,5231.98038823782,6193.0383906046,7183.67200575038,8205.75950932477,9261.36398859271,10352.7584128984,11482.4551049533,12653.2405737995,13868.2169243213,15130.8513919787,16445.0359943431,17815.1598848844,19246.1977997409,20743.819093546,22314.523397729,23965.8111038017,25706.3999829358,27546.5037859669,29498.1954034794,31575.8873863217,33796.9785026824,36182.7403220503,38759.5593920721,41560.72119747,44629.0467954581,48020.9233806648,51812.7188012085,56111.5019004114,61074.0827898012,66943.5701931871,74127.2421989375,83388.6061875302,96441.7655966665,118756.288994396
