"","rep","dtype","optim_method","optim_model","dfe","tsigma","masked","file","tsigma_estim"
"1",1,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8981.95635504867
"2",2,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8502.45980297313
"3",3,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",5913.70891324401
"4",4,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",5942.4133663868
"5",5,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",5834.87589156595
"6",6,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8494.29302186621
"7",7,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8652.04524925082
"8",8,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",6263.32699405749
"9",9,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8646.95140345989
"10",10,"s","BW","OT","0",10000,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_.csv",8994.09285811369
"11",1,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11091.8319209056
"12",2,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",10514.0201053175
"13",3,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11317.3300141384
"14",4,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11295.6853902737
"15",5,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11071.0030468127
"16",6,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",10556.9326386004
"17",7,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",10708.4106315361
"18",8,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11866.7609188513
"19",9,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",10681.7725025948
"20",10,"s","BW","OT","0",10000,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__10000_msak_mhs_masked_.csv",11063.56419328
"21",1,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",72382.5351937188
"22",2,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",56909.3416297252
"23",3,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",64950.7478516372
"24",4,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",85811.8377113318
"25",5,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",63825.5989867441
"26",6,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",69971.7751168385
"27",7,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",77170.7530232711
"28",8,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",89564.3601915481
"29",9,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",83144.9866681364
"30",10,"s","BW","OT","0",1e+05,FALSE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_.csv",76977.0551071402
"31",1,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",89311.5834971279
"32",2,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",111176.963245832
"33",3,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",105270.384585237
"34",4,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",105754.2742088
"35",5,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",79110.2150759951
"36",6,"s","BW","OT","0",1e+05,TRUE,"mat_save_s_BW_OT_bgs_good_window__dfe_0__tsigma__1e+05_msak_mhs_masked_.csv",86612.0024486951
