"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0,2878.01064681287,5830.78311712765,8862.30539906935,11976.8933394659,15179.2275972546,18474.3959545574,21867.9419454665,25365.9209694785,28974.9653159918,32702.3598538694,36556.1305565555,40545.1485667331,44679.2531933353,48969.3981306949,53427.8263682729,58068.2808233479,62906.2598260147,67959.3294293485,73247.5084206025,78793.7473377514,84624.5304548791,90770.6406772173,97268.1432923088,104159.66830723,111496.107191621,119338.895904484,127763.145468446,136862.028161099,146753.0767671,157587.494675503,169564.388014969,182953.415644981,198132.643242236,215655.775498851,236381.242013254,261747.162982733,294449.522836602,340540.910320484,419334.657658235
"2",0,2709.72730706655,5489.84495646681,8344.10775026677,11276.5791786469,14291.6662125654,17394.1591408153,20589.2773553835,23882.7221838131,27280.7381115829,30790.1840459413,34418.6166647733,38174.3883963784,42066.7632245882,46106.054358174,50303.7889132357,54672.9062297544,59227.9984178457,63985.6044064909,68964.5724423197,74186.5110970487,79676.3560535155,85463.0902756957,91580.6702378641,98069.2332808618,104976.69514299,112360.899493427,120292.565455223,128859.417326803,138172.11550354,148373.022194097,159649.601372744,172255.744377911,186547.410590476,203045.928423852,222559.533291146,246442.255474959,277232.439520901,320628.766572008,394815.277669057
"3",0,2752.25884580293,5576.01287189276,8475.07581523607,11453.5749460438,14515.9864065354,17667.1756732742,20912.4440611663,24257.5823850746,27708.9331431361,31273.4628991436,34958.8469396473,38773.5687916101,42727.0378451874,46829.7291839774,51093.3508522435,55531.0452842183,60157.6336259411,64989.9143993408,70047.0316907537,75350.9332373181,80926.9461092109,86804.5081833619,93018.1089105923,99608.5156223927,106624.396136462,114124.502028928,122180.662421296,130881.978521536,140340.847636659,150701.866474636,162155.44142068,174959.448859711,189475.435266246,206232.911758854,226052.799711954,250310.382097029,281583.844996173,325661.315334347,401012.248571665
"4",0,2732.83902447424,5536.66876228485,8415.27604083262,11372.7590084854,14413.5622239937,17542.5168333251,20764.8867455333,24086.4219157379,27513.4200896786,31052.798675371,34712.1788028694,38499.9841397316,42425.5576838564,46499.3006070976,50732.8383422565,55139.2205911088,59733.163922318,64531.3483281567,69552.7828151026,74819.2602579944,80355.9290202792,86192.0192664798,92361.7770913195,98905.6821737322,105872.058933365,113319.244397726,121318.560865092,129958.480849103,139350.608586151,149638.520515989,161011.279524474,173724.942431727,188138.50465572,204777.741107098,224457.780773983,248544.202689721,279597.001365092,323363.462947715,398182.72320571
"5",0,2655.0511991024,5379.07242420372,8175.74271404031,11049.043566842,14003.2930309585,17043.1847380964,20173.8327648333,23400.8233989447,26730.2751264549,30168.90845753,33724.1275935548,37404.1164299032,41217.952024372,45175.7394887351,49288.773348218,53569.7318564747,58032.9126881674,62694.521054466,67573.0248874332,72689.5967471627,78068.6691713664,83738.6403140047,89732.7814852591,96090.4201461074,102858.505204693,110093.713177066,117865.336235898,126259.328603637,135384.117801629,145379.193494325,156428.237061167,168780.01689327,182783.309924229,198948.9253508,218068.790241488,241469.613640433,271638.522097963,314159.210387595,386848.807134758
"6",0,2716.6367611535,5503.84335090756,8365.38414558769,11305.3329967487,14328.1081125544,17438.5119964149,20641.7773490911,23943.6200357741,27350.3004645727,30868.6950320613,34506.3796846762,38271.7281483285,42174.02802881,46223.6188322402,50432.057067374,54812.3150678354,59379.0221517332,64148.7594201779,69140.4231803899,74375.6771031481,79879.5204540557,85681.0100998968,91814.189099563,98319.2971389222,105244.372135209,112647.405251477,120599.295935388,129187.992170984,138524.436523326,148751.354206296,160056.687203045,172694.97424207,187023.082354625,203563.669274132,223127.031309444,247070.651345218,277939.34637728,321446.328448366,395822.005551514
"7",0,2916.99193568025,5909.75830829435,8982.34112137451,12139.1146778465,15384.8230339524,18724.6228834093,22164.1328448489,25709.4903352811,29367.4174753179,33145.2978039151,37051.2660025195,41094.3133692334,45284.4124817616,49632.6653970299,54151.4809299837,58854.7881391961,63758.2952722909,68879.8063061985,74239.6111731485,79860.9712652647,85770.7295735591,92000.0859431112,98585.594148674,105570.461600546,113006.26906918,120955.284634498,129493.636662295,138715.759404461,148740.777571463,159721.942530529,171861.057208376,185431.432865811,200816.255899763,218576.730669726,239582.913795794,265292.404131075,298437.70193499,345153.37539634,425014.346661605
"8",0,2702.28604566911,5474.76913269446,8321.19375197027,11245.6122348078,14252.4194500534,17346.3925317481,20532.7365387536,23817.1371420309,27205.8216788947,30705.6302211474,34324.0986950599,38069.5565920844,41951.2424559552,45979.4411740396,50165.6482074869,54522.7673631783,59065.3506794091,63809.8916671241,68775.1868132317,73982.7853495179,79457.5544822123,85228.3975843257,91329.177881266,97799.9224915488,104688.415570665,112052.341941602,119962.226523558,128505.552712696,137792.677016642,147965.570699036,159211.182933844,171782.707841067,186035.12729112,202488.338062214,221948.356048554,245765.493190585,276471.123411732,319748.278540102,393731.06388962
"9",0,2760.78856241289,5593.29388079323,8501.34151152482,11489.0715159284,14560.9739085469,17721.92924488,20977.2552695072,24332.7607440081,27794.8078229961,31370.3846608262,35067.1903310623,38893.734652555,42859.4561767547,46974.8624513187,51251.697805724,55703.1454048343,60344.0723279322,65191.329158413,70264.1193133812,75584.4585497321,81177.7524305253,87073.5300656605,93306.3877946121,99917.2192937402,106954.843210558,114478.193202287,122559.321001051,131287.603954566,140775.787708145,151168.917099464,162657.988615393,175501.677843472,190062.651752019,206872.062504298,226753.375649196,251086.136393204,282456.521054031,326670.594942936,402255.053492668
"10",0,2941.80721149884,5960.03348411765,9058.75520730222,12242.3838968112,15515.7039672651,18883.9159811265,22352.6863554352,25928.2047191027,29617.2503788016,33427.2696863301,37366.4665260567,41443.9086863679,45669.6535831413,50054.8977201204,54612.155475849,59355.4744054328,64300.6963888492,69465.7768640569,74871.1783726979,80540.3601949517,86500.3936790694,92782.744091763,99424.2761760782,106468.564914054,113967.629881282,121984.26888132,130595.257915072,139895.834600385,150006.137059009,161080.720389903,173323.104286715,187008.925109006,202524.629076271,220436.194795336,241621.080584855,267549.285303958,300976.554990288,348089.645498909,428630.005693861
"11",0,2729.48058736439,5529.86464624666,8404.93435034442,11358.7828117342,14395.8491271649,17520.9585055181,20739.3683869313,24056.8216602962,27479.6083319349,31014.6373089304,34669.5203555876,38452.6707874611,42373.4201206646,46442.1567448568,50670.4918061265,55071.4589692266,59659.7567173531,64452.0445444237,69467.3080963914,74727.3134664228,80257.1781126694,86086.096278157,92248.2719719409,98784.135126719,105741.950775353,113179.984253884,121169.47021128,129798.772435649,139179.358010846,149454.626932846,160813.40974458,173511.448593142,187907.297720307,204526.085902072,224181.940399268,248238.762059564,279253.399368495,322966.075525987,397693.38899241
"12",0,2840.69487254339,5755.18222007957,8747.39832318864,11821.603070196,14982.4164314476,18234.8602217871,21584.4060988293,25037.0309488378,28599.2810681261,32278.3468712429,36082.1502682878,40019.4473802854,44099.9499414389,48334.469622428,52735.0906722897,57315.3778200807,62090.6284473039,67078.1808487139,72297.7942515283,77772.1216211275,83527.3038412071,89593.7246913235,96006.9818429145,102809.152569965,110050.46849237,117791.569001413,126106.591243556,135087.499441208,144850.302469841,155544.243242255,167365.846312451,180581.274191093,195563.69062254,212859.621062336,233316.364863382,258353.39581222,290631.742683463,336125.517433348,413897.639054475
"13",0,2710.45956341652,5491.32849092405,8346.36259925805,11279.6264766861,14295.528285073,17398.8596077037,20594.841247014,23889.1760712312,27288.110253297,30798.5045539591,34427.9176931625,38184.7043563043,42078.1310306452,46118.5137119207,50317.3826312321,54687.6806251903,59244.0037471733,64002.8953955182,68983.2089102633,74206.5587024633,79697.8871933874,85486.1851791494,91605.418310167,98095.7347736945,105005.063256422,112391.263058768,120325.072414384,128894.239327654,138209.454097982,148413.117404927,159692.743881613,172302.293476158,186597.821761231,203100.798030117,222619.67610739,246508.852178621,277307.35673258,320715.410881084,394921.969583548
"14",0,2654.45752904383,5377.86966237291,8173.91461608968,11046.57299816,14000.1618914171,17039.3738780704,20169.3218911887,23395.5909694524,26724.2982307908,30162.1626826625,33716.5868708711,37395.7528608695,41208.7356808225,45165.6381829986,49277.7523671649,53557.7536521148,58019.9365155474,62680.5025451435,67557.915543532,72673.3433366173,78051.2129989902,83719.9163347773,89712.7172146877,96068.9343060696,102835.50601928,110069.096197487,117838.981519616,126231.096988732,135353.845881761,145346.686673235,156393.259671395,168742.277642687,182742.439534104,198904.440325349,218020.030009852,241415.620979304,271577.783661967,314088.964315921,386762.307652539
"15",0,2738.88324345121,5548.91421037107,8433.888103485,11397.912135034,14445.4406937974,17581.3156107862,20810.8124372399,24139.6938454514,27574.2715098823,31121.4781377764,34788.9517148387,38585.1345392488,42519.3902728105,46602.143091645,50845.0441405188,55261.1719832279,59865.2757370645,64674.0722854338,69706.6126770252,74984.7379859703,80533.6521963413,86382.6501210043,92566.0535967565,99124.4318314217,106106.216123747,113569.872525219,121586.881077615,130245.909969198,139658.810271404,149969.475971941,161367.388106975,174109.169817392,188554.610511189,205230.647955168,224954.213957911,249093.907803362,280215.385941139,324078.645789332,399063.383775303
"16",0,2920.81888657784,5917.51162244849,8994.12551405533,12155.0406031958,15405.007170082,18749.1886737614,22193.2111042185,25743.2199304546,29405.9460921756,33188.7828151795,37099.8754532179,41148.2271005367,45343.8234183753,49697.7810290162,54222.5250271632,58932.0027456342,63841.9430405059,68970.1732466568,74337.0099157162,79965.7449576179,85883.2565800664,92120.7855608137,98714.9336313792,105708.964888072,113154.527772797,121113.972058155,129663.525986634,138897.747703252,148935.918204275,159931.489915236,172086.530518432,185674.70984569,201079.717015772,218863.49266087,239897.234872854,265640.454803308,298829.237618488,345606.199760926,425571.944718544
"17",0,2909.59244890164,5894.76711893516,8959.55576034708,12108.3215798389,15345.7965994811,18677.1244320884,22107.9094436325,25644.2734824356,29292.9216172141,33061.2186572184,36957.2786487792,40990.0700819167,45169.5402370572,49506.7630087167,54014.1157345978,58705.4921396539,63596.5606246481,68705.0800034475,74051.288739135,79658.3892170334,85553.1563359686,91766.7107968723,98335.5136491218,105302.662699469,112719.607874252,120648.45929895,129165.15222575,138363.881356687,148363.469220481,159316.778434067,171425.100013906,184961.051916502,200306.848515983,218022.270573721,238975.1676511,264619.441133536,297680.659790754,344277.830350569,423936.219567603
"18",0,2778.59143934034,5629.36209837952,8556.16220250727,11563.1585101277,14654.8699895315,17836.2086683603,21112.5265825383,24489.6699513007,27974.0419554581,31572.6758123063,35293.3202426952,39144.5399408322,43135.834322434,47277.7786928197,51582.193114485,56062.345763607,60733.1995894624,65611.7138360176,70717.2157531386,76071.8630657857,81701.2251641652,87635.0215759134,93908.071734146,100561.533017086,107644.538878092,115216.403006618,123349.641758605,132134.208829393,141683.576901803,152143.726131571,163706.884641699,176633.396082872,191288.266072404,208206.071895178,228215.589197357,252705.259148658,284277.934960964,328777.122214443,404848.985280229
"19",0,2832.2419312604,5738.05675621878,8721.36904242373,11786.4260022226,14937.8338585016,18180.5994828924,21520.1782512188,24962.5292645645,28514.1793396929,32182.2974949258,35974.7820674543,39900.3631230662,43968.7234971484,48190.6426885281,52578.1689876291,57144.8267594904,61905.867865813,66878.5790084865,72082.660617992,77540.6982521936,83278.7550084124,89327.1242544162,95721.297735086,102503.227516758,109722.995747119,117441.06137526,125731.340940722,134685.525011684,144419.27726068,155081.396504387,166867.82250661,180043.925768952,194981.759627453,212226.223263878,232622.094756581,257584.624021145,289766.921516071,335125.322273339,412666.020525532
"20",0,2800.51902829706,5673.78688729742,8623.68418690816,11654.4105680091,14770.5206608735,17976.9652570004,21279.1386285502,24682.9331309012,28194.8024763365,31821.8353856333,35571.8417296049,39453.4537917747,43476.2459536423,47650.8769768225,51989.2602032575,56504.7685165345,61212.4829478464,66129.4965770756,71275.289177408,76672.1933341587,82345.9802214561,88326.6039021678,94649.1585911591,101355.12646506,108494.028719792,116125.647125933,124323.070310981,133176.961850693,142801.689911234,153344.386668317,164998.797236326,178027.319799219,192797.840460092,209849.155184852,230016.580002476,254699.513133377,286521.348519011,331371.706467536,408043.899801695
"21",0,4676.41448010866,9474.30775820956,14400.1598261105,19460.9834058188,24664.3839942965,30018.6286137705,35532.724827548,41216.5119174675,47080.7665407364,53137.3257161903,59399.2306667565,65880.8959117641,72598.3091220092,79569.2687079476,86813.6680265618,94353.8376336579,102214.96041567,110425.579055387,119018.221627954,128030.179944029,137504.487702239,147491.163349848,158048.8085578,169246.691861497,181167.50566022,193911.075855793,207599.448651977,222384.017577687,238455.758999416,256060.359888059,275521.343293877,297276.871805526,321941.255799823,350414.197521716,384090.539832088,425307.051749556,478444.377465746,553337.231693585,681367.411637614
"22",0,4942.22212637936,10012.8279120509,15218.6656718993,20567.1467314216,26066.3088844291,31724.8890511292,37552.4067852037,43559.2606337909,49756.8397998635,56157.6541190337,62775.4860780292,69625.56951822,76724.8008504553,84091.9901477823,91748.1615066458,99716.9147528246,108024.864169349,116702.174806607,125783.223637254,135307.422140437,145320.250052488,155874.568871858,167032.311191566,178866.682774228,191465.07625947,204932.991658657,219399.412288219,235024.336893261,252009.596947043,270614.844280873,291181.991012295,314174.104914664,340240.413799093,370331.759033698,405922.26642131,449481.527055101,505639.181174135,584788.949195537,720096.371335974
